"","X","city","state","longitude","latitude","AirPtCd","citstate","citylons","citylats","newairlon","newairlat","distance","latDist"
"38",38,"Sault Ste Marie","Michigan",-84.35,46.5,"KANJ","Sault Ste Marie Michigan",-84.3475876,46.4977115,-84.3663,46.4799,2446.28219630778,-0.0178115000000005
"39",39,"Atlanta","Georgia",-84.3833,33.75,"KATL","Atlanta Georgia",-84.3879824,33.7489954,-84.4277001,33.6407282,12560.5668786338,-0.1082672
"40",40,"Cincinnati","Ohio",-84.5,39.1333,"KLUK","Cincinnati Ohio",-84.5120196,39.1031182,-84.4293704,39.1038008,7149.56606877537,0.00068259999999043
"41",41,"Grand Rapids","Michigan",-85.6667,42.9667,"KGRR","Grand Rapids Michigan",-85.6680863,42.9633599,-85.5248434,42.8846633,14601.1546721094,-0.0786966000000007
"42",42,"Louisville","Kentucky",-85.7667,38.25,"KSDF","Louisville Kentucky",-85.7584557,38.2526647,-85.7369231,38.175662,8752.88967569105,-0.0770026999999942
"43",43,"Indianapolis","Indiana",-86.1667,39.7667,"KEYE","Indianapolis Indiana",-86.158068,39.768403,-86.2945,39.8306,13572.6305447203,0.0621969999999976
"44",44,"Montgomery","Alabama",-86.3,32.35,"KMXF","Montgomery Alabama",-86.2999689,32.3668052,-86.3626,32.3791,6049.76350477696,0.0122947999999994
"45",45,"Nashville","Tennessee",-86.7833,36.1667,"KBNA","Nashville Tennessee",-86.7816016,36.1626638,-86.6773713,36.126317,10210.8685063773,-0.0363467999999969
"46",46,"Birmingham","Alabama",-86.8333,33.5,"KBHM","Birmingham Alabama",-86.80249,33.5206608,-86.754126,33.5624269,6452.69588116468,0.0417660999999967
"47",47,"Chicago","Illinois",-87.6167,41.8333,"KMDW","Chicago Illinois",-87.6297982,41.8781136,-87.7521884,41.7867759,14362.4469598089,-0.0913377000000111
"48",48,"Milwaukee","Wisconsin",-87.9167,43.0333,"KMKE","Milwaukee Wisconsin",-87.9064736,43.0389025,-87.896646,42.9475534,10179.8064806303,-0.0913491000000022
"49",49,"Mobile","Alabama",-88.05,30.7,"KBFM","Mobile Alabama",-88.0398912,30.6953657,-88.068,30.6268,8064.69844518442,-0.0685657000000006
"50",50,"Springfield","Illinois",-89.6333,39.8,"KSPI","Springfield Illinois",-89.6501481,39.7817213,-97.052891,36.15377,764634.623353298,-3.6279513
"51",51,"Memphis","Tennessee",-90.05,35.15,"KMEM","Memphis Tennessee",-90.0489801,35.1495343,-92.1716606,40.4671982,619058.017673516,5.3176639
"52",52,"New Orleans","Louisiana",-90.0667,29.95,"KNEW","New Orleans Louisiana",-90.0715323,29.9510658,-97.4870613,35.3363618,916398.234387187,5.385296
"53",53,"Jackson","Mississippi",-90.2,32.3333,"KHKS","Jackson Mississippi",-90.1848103,32.2987573,NA,NA,NA,NA
"54",54,"St Louis","Missouri",-90.2,38.5833,"KCPS","St Louis Missouri",-90.1994042,38.6270025,-94.5418141,39.0869565,380328.114211294,0.459953999999996
"55",55,"Dubuque","Iowa",-90.6667,42.5167,"KDBQ","Dubuque Iowa",-90.6645718,42.5005583,-90.700621,42.39384,12219.8221974457,-0.106718300000004
"56",56,"Duluth","Minnesota",-92.0833,46.8167,"KDLH","Duluth Minnesota",-92.1004852,46.7866719,-92.1875408,46.8421083,9062.09964591032,0.0554363999999978
"57",57,"Hot Springs","Arkansas",-93.05,34.5167,"KHOT","Hot Springs Arkansas",-93.0551795,34.5037004,-94.300523,36.461826,244882.803721989,1.95812559999999
"58",58,"Minneapolis","Minnesota",-93.2333,44.9833,"KMSP","Minneapolis Minnesota",-93.2650108,44.977753,-93.124218,45.059297,14327.4867020738,0.0815440000000009
"59",59,"Springfield","Missouri",-93.2833,37.2167,"KSGF","Springfield Missouri",-93.2922989,37.2089572,-93.323776,37.196869,3099.72300227907,-0.0120882000000009
"60",60,"Des Moines","Iowa",-93.6167,41.5833,"KDSM","Des Moines Iowa",-93.6091064,41.6005448,-93.6443424,41.5474131,6592.32436108175,-0.0531317000000016
"61",61,"Shreveport","Louisiana",-93.7,32.4667,"KBAD","Shreveport Louisiana",-93.7501789,32.5251516,-96.7488307,43.5642569,1253027.78121457,11.0391053
"62",62,"Kansas City","Missouri",-94.5833,39.1,"KMKC","Kansas City Missouri",-94.5785667,39.0997265,-94.5902374,39.1208095,2548.9724301353,0.0210829999999973
"63",63,"Lincoln","Nebraska",-96.6667,40.8333,"KLNK","Lincoln Nebraska",-96.7025955,40.813616,-96.7581014,40.8506586,6232.27491300516,0.0370425999999995
"64",64,"Sioux Falls","South Dakota",-96.7333,43.55,"KFSD","Sioux Falls South Dakota",-96.7311034,43.5445959,-96.7404127,43.5826764,4297.21617558775,0.0380804999999995
"65",65,"Dallas","Texas",-96.7667,32.7667,"KDAL","Dallas Texas",-96.7969879,32.7766642,-96.8512063,32.8481029,9410.09644857789,0.0714387000000016
"66",66,"Fargo","North Dakota",-96.8,46.8667,"KFAR","Fargo North Dakota",-96.7898034,46.8771863,-96.8180723,46.9219271,5420.18861848424,0.0447407999999996
"67",67,"Wichita","Kansas",-97.2833,37.7167,"KAAO","Wichita Kansas",-97.330053,37.6871761,-97.221107,37.747501,11708.8753985115,0.0603248999999977
"68",68,"Oklahoma City","Oklahoma",-97.4667,35.4333,"KTIK","Oklahoma City Oklahoma",-97.5164276,35.4675602,-116.2101117,43.6209469,1838181.31245802,8.1533867
"69",69,"San Antonio","Texas",-98.55,29.3833,"KSKF","San Antonio Texas",-98.4936282,29.4241219,-98.5785196,29.3820256,9468.91184315896,-0.0420963000000008
"70",70,"Pierre","South Dakota",-100.35,44.3667,"KPIR","Pierre South Dakota",-100.3537522,44.3667876,-100.285833,44.3825,5687.74960360776,0.0157123999999982
"71",71,"North Platte","Nebraska",-100.767,41.1333,"KLBF","North Platte Nebraska",-100.7601454,41.1402759,-100.6981139,41.1298336,5335.90904418679,-0.0104423000000011
"72",72,"Bismarck","North Dakota",-100.783,46.8,"KBIS","Bismarck North Dakota",-100.7837392,46.8083268,-92.1584796,34.7695356,1520052.39407324,-12.0387912
"73",73,"Garden City","Kansas",-100.883,37.9667,"KGCK","Garden City Kansas",-100.8726618,37.9716898,-100.7198703,37.9268913,14320.2942467308,-0.0447984999999989
"74",74,"Amarillo","Texas",-101.833,35.1833,"KAMA","Amarillo Texas",-101.8312969,35.2219971,53.0533256,57.8148148,9430605.83713328,22.5928177
"75",75,"Carlsbad","New Mexico",-104.25,32.4333,"KCNM","Carlsbad New Mexico",-104.2288375,32.4206736,-104.2526954,32.3455852,8624.14338135438,-0.0750883999999985
"76",76,"Trinidad","Colorado",-104.5,37.1667,"KTAD","Trinidad Colorado",-104.5005407,37.1694632,-104.3362998,37.2605112,17737.6663998464,0.0910480000000007
"77",77,"Cheyenne","Wyoming",-104.867,41.15,"KCYS","Cheyenne Wyoming",-104.8202462,41.1399814,-104.8191509,41.1532465,1476.04551160219,0.0132650999999981
"78",78,"Denver","Colorado",-105,39.75,"KBJC","Denver Colorado",-104.990251,39.7392358,-105.1118525,39.9097178,21602.781076178,0.170482
"79",79,"Santa Fe","New Mexico",-105.95,35.6833,"KSAF","Santa Fe New Mexico",-105.937799,35.6869752,-106.0845315,35.6182563,15319.8253568171,-0.0687189000000004
"80",80,"El Paso","Texas",-106.483,31.7667,"KELP","El Paso Texas",-106.4850217,31.7618778,-82.4989757,27.9202563,2351766.86817406,-3.8416215
"81",81,"Grand Junction","Colorado",-108.55,39.0833,"KGJT","Grand Junction Colorado",-108.5506486,39.0638705,-108.5323765,39.1229004,6741.29448613784,0.0590298999999987
"82",82,"Lander","Wyoming",-108.667,42.8333,"KLND","Lander Wyoming",-108.7306725,42.833014,-108.7296549,42.8148855,2015.60092002698,-0.018128499999996
"83",83,"Harve","Montana",-109.717,48.55,"KHVR","Harve Montana",-109.6840887,48.549999,-109.7591257,48.5438304,5582.52465317428,-0.0061686000000023
"84",84,"Nogales","Arizona",-110.933,31.35,"KOLS","Nogales Arizona",-110.9342532,31.3403775,-110.849167,31.416389,11684.979463215,0.0760114999999999
"85",85,"Provo","Utah",-111.6608,40.2444,"KPVU","Provo Utah",-111.6585337,40.2338438,-95.9963453,30.089385,1812563.11196685,-10.1444588
"86",86,"Flagstaff","Arizona",-111.683,35.2167,"KFLG","Flagstaff Arizona",-111.651302,35.1982836,-114.5942581,35.1014776,268371.413013976,-0.0968060000000008
"87",87,"Salt Lake City","Utah",-111.9,40.7667,"KSLC","Salt Lake City Utah",-111.8910474,40.7607793,-111.9790706,40.7899404,8105.89631914698,0.0291610999999961
"88",88,"Idaho Falls","Idaho",-112.017,43.5,"KIDA","Idaho Falls Idaho",-112.0407584,43.4926607,-73.9959614,40.7199004,3134323.09624947,-2.7727603
"89",89,"Helena","Montana",-112.033,46.5833,"KHLN","Helena Montana",-112.0391057,46.5891452,-111.9902266,46.6095791,4380.2454983025,0.0204339000000004
"90",90,"Phoenix","Arizona",-112.067,33.4833,"KPHX","Phoenix Arizona",-112.0740373,33.4483771,-112.0077881,33.4372686,6282.09223355652,-0.0111084999999989
"91",91,"Richfield","Utah",-112.083,38.7667,"KMLF","Richfield Utah",-112.0840943,38.7724673,-113.0112514,38.4192635,89783.9743061867,-0.353203799999996
"92",92,"St. George","Utah",-113.5781,37.0953,"KSGU","St. George Utah",-113.5684164,37.0965278,-113.5099697,37.0334602,8718.23696973055,-0.0630675999999966
"93",93,"Salmon","Idaho",-113.9,45.1833,"KSMN","Salmon Idaho",-113.8959008,45.1757547,-95.9439276,43.8978527,1430878.5420189,-1.277902
"94",94,"Needles","California",-114.6,34.8333,"KEED","Needles California",-114.6141315,34.8480597,-114.6194,34.7688,8806.04386659262,-0.0792597000000015
"95",95,"Las Vegas","Nevada",-115.2,36.1667,"KVGT","Las Vegas Nevada",-115.1398296,36.1699412,-115.1994297,36.2092336,6910.02277589636,0.0392924000000008
"96",96,"Boise","Idaho",-116.217,43.6,"KBOI","Boise Idaho",-116.2023137,43.6150186,-116.2119311,43.6203256,974.846720032117,0.00530700000000195
"97",97,"Lewiston","Idaho",-117.033,46.4,"KLWS","Lewiston Idaho",-117.001189,46.4004089,-117.014737,46.3740418,3110.69509692559,-0.0263671000000016
"98",98,"Austin","Nevada",-117.067,39.4833,"KP68","Austin Nevada",-117.0672356,39.4925701,-116.00556,39.6014,92052.7183065616,0.108829899999996
"99",99,"San Diego","California",-117.15,32.72,"KSAN","San Diego California",-117.1610838,32.715738,-117.1933038,32.7338006,3624.25478370814,0.0180626000000004
"100",100,"Spokane","Washington",-117.433,47.6667,"KGEG","Spokane Washington",-117.4260465,47.6587802,-117.534812,47.6217478,9151.48208933573,-0.0370324000000153
"101",101,"Baker","Oregon",-117.833,44.7833,"KBKE","Baker Oregon",-117.8343848,44.7748748,-117.809527,44.8377716,7260.97511666635,0.0628968000000043
"102",102,"Los Angeles","California",-118.25,34.05,"KCQT","Los Angeles California",-118.2436849,34.0522342,-117.863,33.679,54356.7904976584,-0.373234199999999
"103",103,"Fresno","California",-119.8,36.7333,"KFAT","Fresno California",-119.7871247,36.7377981,-119.7181083,36.7758493,7470.65054565031,0.0380511999999982
"104",104,"Reno","Nevada",-119.817,39.5,"KRNO","Reno Nevada",-119.8138027,39.5296329,-119.7680951,39.4995907,5155.10915327863,-0.030042200000004
"105",105,"Sacramento","California",-121.5,38.5833,"KSAC","Sacramento California",-121.4943996,38.5815719,-121.4987911,38.5128968,7633.01348797951,-0.0686751000000001
"106",106,"Klamath Falls","Oregon",-121.733,42.1667,"KLMT","Klamath Falls Oregon",-121.7816704,42.224867,-121.7340506,42.1590311,8303.60953647815,-0.0658359000000033
"107",107,"Seattle","Washington",-122.333,47.6167,"KBFI","Seattle Washington",-122.3320708,47.6062095,-122.3018264,47.5281657,8970.54342169652,-0.0780437999999961
"108",108,"San Francisco","California",-122.433,37.7833,"KSFO","San Francisco California",-122.4194155,37.7749295,-122.4006918,37.7983752,3080.93129799542,0.0234457000000035
"109",109,"Portland","Oregon",-122.683,45.5167,"KVUO","Portland Oregon",-122.6587185,45.5122308,NA,NA,NA,NA
"110",110,"Eugene","Oregon",-123.083,44.05,"KEUG","Eugene Oregon",-123.0867536,44.0520691,-123.2159003,44.1217811,12922.169513867,0.0697120000000027
"111",111,"Hoquiam","Washington",-123.9,46.9833,"KHQM","Hoquiam Washington",-123.8893348,46.9809247,-123.936789,46.9715412,3758.44459528344,-0.00938350000000554
"112",112,"Anchorage","Alaska",-149.9,61.2167,"PAMR","Anchorage Alaska",-149.9002778,61.2180556,-83.7441467,32.4510578,5638364.98452635,-28.7669978
"113",113,"Honolulu","Hawaii",-157.8167,21.3,"PHNL","Honolulu Hawaii",-157.8583333,21.3069444,-157.9250736,21.3245132,7192.3665291114,0.0175687999999994
